post_id,post_type,platform,category,likes,shares,comments,views,engagement_rate,region,language,festival_relevance,festival_season,relevant_festivals,timestamp,month,day_of_week,ad_spend,age_group,gender
145,static_image,Instagram,Sports,4545,518,552,1566,0.1,Delhi NCR Urban,Tamil,No,Medium,"Lohri, Pongal, Republic Day",2024-01-17 07:58:18,January,Wednesday,3730.46,45-54,Female
146,static_image,YouTube,Finance,2990,544,381,4933,0.19,Mumbai Suburban,Kannada,No,Low,Ganesh Chaturthi,2024-09-23 02:49:44,September,Monday,4532.21,25-34,Other
147,video,Facebook,Finance,1954,490,475,2048,0.09,Rural Bihar,Hinglish,No,Medium,"Baisakhi, Ram Navami",2024-04-11 14:34:22,April,Thursday,2761.92,18-24,Male
148,reel,Facebook,Music,4177,603,426,7204,0.25,Rural UP East,Kannada,No,Medium,"Holi, Maha Shivaratri",2024-03-19 08:58:23,March,Tuesday,1947.69,35-44,Female
149,video,Instagram,Social Issues,1344,589,482,5974,0.3,Delhi Urban,Hindi,No,Low,Ganesh Chaturthi,2024-09-26 07:53:14,September,Thursday,4098.29,25-34,Other
150,static_image,YouTube,Fashion,4524,29,97,2966,0.01,Rural Tamil Nadu South,Bhojpuri,No,Low,Ganesh Chaturthi,2024-09-06 14:21:52,September,Friday,1745.8,35-44,Male
151,video,Facebook,Finance,6756,729,483,13531,0.3,Gurgaon Urban,Telugu,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-22 17:52:33,October,Tuesday,4743.34,35-44,Female
152,carousel,Facebook,Gaming,3163,663,73,5652,0.35,Rural Gujarat,English,Yes,High,"Diwali, Bhai Dooj",2024-11-30 19:02:32,November,Saturday,4926.54,35-44,Male
153,video,YouTube,Social Issues,1272,771,435,3048,0.4,Rural UP East,Hindi,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-19 17:06:35,October,Saturday,1751.65,25-34,Other
154,static_image,YouTube,Music,3825,170,80,681,0.26,Rural Maharashtra North,Bengali,No,Low,Rath Yatra,2024-06-14 01:38:53,June,Friday,3438.32,45-54,Male
155,carousel,Facebook,Entertainment,2580,218,444,6850,0.19,Rural Karnataka North,Hinglish,No,Low,Vasant Panchami,2024-02-17 05:21:51,February,Saturday,500.43,25-34,Male
156,video,YouTube,Health,4066,1234,750,11001,0.42,Chennai Suburban,Odia,Yes,High,"Diwali, Bhai Dooj",2024-11-04 22:24:24,November,Monday,4337.99,55+,Male
157,static_image,YouTube,Sports,1424,188,48,5201,0.04,Kolkata Urban,English,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-08 14:35:12,May,Wednesday,2509.46,55+,Other
158,reel,Instagram,Food,2319,133,104,3066,0.12,Rural Bihar,Odia,No,Medium,"Holi, Maha Shivaratri",2024-03-19 00:06:54,March,Tuesday,4792.38,55+,Other
159,carousel,Instagram,Music,2719,460,255,4279,0.18,Mysuru Urban,Hindi,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-30 18:20:33,May,Thursday,4373.06,18-24,Other
160,static_image,Instagram,Politics,2235,111,590,7761,0.02,Mumbai Urban,Odia,No,Medium,"Lohri, Pongal, Republic Day",2024-01-23 03:33:33,January,Tuesday,159.17,55+,Female
161,video,Facebook,Technology,3340,859,146,5991,0.04,Rural Maharashtra West,Kannada,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-12 23:55:23,May,Sunday,2233.93,45-54,Other
162,static_image,Facebook,Technology,192,272,486,1804,0.09,Rural Karnataka South,Odia,Yes,Low,Rath Yatra,2024-06-11 17:53:48,June,Tuesday,4748.5,45-54,Male
163,static_image,YouTube,Technology,3652,715,141,9646,0.2,Chennai Suburban,Marathi,No,Low,Eid al-Adha,2024-07-31 06:43:27,July,Wednesday,3705.31,35-44,Other
164,video,YouTube,Movies,4314,642,337,567,0.17,Rural Tamil Nadu South,Tamil,Yes,High,"Diwali, Bhai Dooj",2024-11-28 13:08:56,November,Thursday,2373.79,18-24,Other
165,static_image,YouTube,Education,4686,1219,627,9072,0.44,Rural Maharashtra East,Punjabi,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-02 12:45:35,October,Wednesday,4373.2,55+,Male
166,reel,Facebook,Politics,4714,502,201,4663,0.11,Hyderabad Urban,Gujarati,No,Medium,"Holi, Maha Shivaratri",2024-03-04 10:48:19,March,Monday,942.36,25-34,Female
167,static_image,YouTube,Food,6792,1366,367,6606,0.42,Rural Maharashtra East,Odia,Yes,High,"Diwali, Bhai Dooj",2024-11-14 20:17:49,November,Thursday,840.92,18-24,Other
168,carousel,Instagram,Education,3262,127,253,3600,0.39,Pune Urban,Urdu,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-04 05:32:48,August,Sunday,3478.63,55+,Female
169,video,YouTube,Finance,1710,1236,502,4386,0.15,Noida Urban,Tamil,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-02 18:12:47,August,Friday,1868.37,45-54,Male
170,video,YouTube,Movies,1390,797,341,4004,0.02,Rural UP West,Bengali,Yes,Low,"Buddha Purnima, Eid al-Fitr",2024-05-14 20:44:15,May,Tuesday,1786.86,18-24,Male
171,static_image,Instagram,Technology,628,224,371,7325,0.19,Hyderabad Urban,Malayalam,No,Low,Eid al-Adha,2024-07-26 12:44:00,July,Friday,4585.03,25-34,Female
172,static_image,YouTube,Travel,2460,288,247,14692,0.19,Noida Urban,Odia,Yes,High,"Diwali, Bhai Dooj",2024-11-19 01:22:15,November,Tuesday,4631.61,25-34,Female
173,carousel,Facebook,Food,1960,249,406,8868,0.11,Rural West Bengal,Kannada,Yes,High,"Diwali, Bhai Dooj",2024-11-10 05:30:28,November,Sunday,2400.17,35-44,Female
174,static_image,Instagram,Education,4976,780,256,8907,0.23,Kolkata Urban,Bhojpuri,No,Medium,"Baisakhi, Ram Navami",2024-04-16 12:30:43,April,Tuesday,2456.5,18-24,Other
175,carousel,Instagram,Music,5008,1297,510,4735,0.32,Chennai Suburban,Odia,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-20 21:36:21,October,Sunday,2542.71,18-24,Female
176,static_image,YouTube,Health,5674,961,330,1821,0.42,Chennai Suburban,Hinglish,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-03 22:28:44,August,Saturday,4228.28,55+,Male
177,static_image,Facebook,Sports,1510,280,384,3459,0.19,Bengaluru Urban,Tamil,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-03 10:25:24,October,Thursday,2800.56,45-54,Other
178,static_image,Facebook,Health,1219,730,332,6366,0.06,Rural Karnataka North,Telugu,No,Low,Eid al-Adha,2024-07-27 02:04:56,July,Saturday,255.92,25-34,Other
179,reel,Facebook,Technology,2991,591,304,1904,0.13,Bengaluru Suburban,Marathi,No,Low,Rath Yatra,2024-06-18 10:21:28,June,Tuesday,4537.91,18-24,Male
180,reel,Instagram,Politics,5929,1147,646,13963,0.25,Coimbatore Urban,Bengali,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-05 05:02:55,October,Saturday,1199.63,35-44,Other
181,carousel,Instagram,Education,4407,212,460,10741,0.23,Rural Maharashtra West,Hindi,No,Medium,"Baisakhi, Ram Navami",2024-04-20 20:38:29,April,Saturday,1616.98,45-54,Female
182,reel,Instagram,Social Issues,5310,1281,205,9451,0.07,Rural Tamil Nadu North,Tamil,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-20 08:27:58,October,Sunday,403.83,25-34,Male
183,static_image,Facebook,Music,4707,646,37,1535,0.3,Mumbai Urban,Hinglish,Yes,Low,Ganesh Chaturthi,2024-09-28 20:13:14,September,Saturday,4363.15,55+,Female
184,video,Facebook,Sports,4845,784,282,5578,0.03,Rural Maharashtra East,Tamil,Yes,Medium,"Lohri, Pongal, Republic Day",2024-01-05 23:25:41,January,Friday,4084.9,18-24,Female
185,video,Instagram,Entertainment,555,98,339,4828,0.21,Rural West Bengal,Tamil,No,Low,Eid al-Adha,2024-07-11 04:25:24,July,Thursday,4920.5,45-54,Other
186,video,Instagram,Social Issues,3678,921,289,7028,0.18,Chennai Urban,Urdu,Yes,Low,"Buddha Purnima, Eid al-Fitr",2024-05-16 20:20:31,May,Thursday,3894.57,55+,Other
187,carousel,Facebook,Fashion,3257,264,141,5284,0.08,Delhi Urban,Bengali,No,Low,"Christmas, New Year's Eve",2024-12-26 03:01:58,December,Thursday,1560.54,45-54,Male
188,video,Instagram,Politics,1021,343,203,6074,0.26,Mysuru Urban,Hinglish,No,Low,"Christmas, New Year's Eve",2024-12-11 04:55:54,December,Wednesday,4631.5,18-24,Male
189,carousel,Instagram,Social Issues,646,151,135,2564,0.33,Noida Urban,Marathi,No,Medium,"Baisakhi, Ram Navami",2024-04-15 11:15:12,April,Monday,4800.37,25-34,Male
190,carousel,Facebook,Gaming,4168,212,588,11161,0.02,Coimbatore Urban,Tamil,No,Medium,"Holi, Maha Shivaratri",2024-03-03 06:30:54,March,Sunday,2223.08,35-44,Other
191,static_image,YouTube,Entertainment,1578,109,44,1227,0.04,Chennai Urban,Tamil,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-22 06:53:10,May,Wednesday,1122.75,45-54,Other
192,static_image,Facebook,Movies,937,224,450,4584,0.18,Rural Tamil Nadu South,Bhojpuri,No,Low,Vasant Panchami,2024-02-18 17:23:41,February,Sunday,1585.26,25-34,Male
193,video,YouTube,Fashion,6871,1270,468,307,0.23,Rural UP West,Bengali,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-16 20:00:16,October,Wednesday,3943.1,35-44,Female
194,video,YouTube,Finance,2698,298,84,7296,0.08,Hyderabad Urban,Odia,No,Medium,"Lohri, Pongal, Republic Day",2024-01-05 09:13:09,January,Friday,513.41,55+,Female
195,static_image,Instagram,Movies,3599,786,370,2165,0.12,Coimbatore Urban,Urdu,No,Low,Vasant Panchami,2024-02-11 03:19:24,February,Sunday,3909.11,35-44,Female
196,static_image,YouTube,Education,3885,716,10,2582,0.07,Gurgaon Urban,Tamil,No,Low,"Christmas, New Year's Eve",2024-12-09 03:31:13,December,Monday,2703.04,35-44,Female
197,reel,Instagram,Fashion,2186,603,154,9298,0.24,Hyderabad Urban,Malayalam,Yes,Low,"Buddha Purnima, Eid al-Fitr",2024-05-02 16:54:59,May,Thursday,3793.72,45-54,Male
198,static_image,YouTube,Fashion,4421,651,184,4360,0.1,Mumbai Suburban,Bhojpuri,No,Low,Vasant Panchami,2024-02-14 01:13:52,February,Wednesday,2153.15,18-24,Male
199,static_image,Facebook,Travel,2927,621,132,8011,0.25,Rural West Bengal,Odia,No,Low,"Christmas, New Year's Eve",2024-12-29 08:04:05,December,Sunday,1289.0,18-24,Male
200,reel,Instagram,Sports,3049,944,424,136,0.17,Noida Urban,Malayalam,No,Medium,"Baisakhi, Ram Navami",2024-04-02 02:27:07,April,Tuesday,3243.86,18-24,Male
201,carousel,Instagram,Movies,4140,97,87,7883,0.2,Rural Maharashtra North,Hinglish,No,Low,Ganesh Chaturthi,2024-09-11 20:02:33,September,Wednesday,497.33,18-24,Other
202,video,Instagram,Entertainment,5077,1147,162,6544,0.24,Chennai Suburban,Hinglish,No,Medium,"Lohri, Pongal, Republic Day",2024-01-10 06:17:17,January,Wednesday,3559.78,35-44,Female
203,carousel,Instagram,Finance,562,243,448,8535,0.25,Coimbatore Urban,Bengali,Yes,Medium,"Lohri, Pongal, Republic Day",2024-01-15 03:17:45,January,Monday,2769.74,25-34,Other
204,video,Instagram,Politics,5560,498,252,10885,0.33,Rural UP West,Odia,Yes,Medium,"Baisakhi, Ram Navami",2024-04-19 14:50:22,April,Friday,4460.79,55+,Female
205,video,YouTube,Sports,439,75,46,7143,0.04,Hyderabad Urban,Punjabi,No,Medium,"Baisakhi, Ram Navami",2024-04-13 18:16:39,April,Saturday,2227.75,35-44,Female
206,static_image,YouTube,Technology,4264,332,55,5777,0.19,Rural NCR,Marathi,No,Low,Eid al-Adha,2024-07-13 01:48:00,July,Saturday,605.59,55+,Male
207,video,YouTube,Finance,4239,414,71,8362,0.08,Mumbai Suburban,Malayalam,No,Low,"Christmas, New Year's Eve",2024-12-01 19:39:07,December,Sunday,1227.05,55+,Female
208,carousel,Instagram,Social Issues,7224,658,613,1177,0.13,Rural UP East,Odia,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-11 00:51:42,August,Sunday,4085.17,18-24,Male
209,static_image,Facebook,Technology,4070,426,382,4210,0.27,Rural Rajasthan,Bhojpuri,No,Low,"Christmas, New Year's Eve",2024-12-01 14:11:33,December,Sunday,3326.69,18-24,Male
210,carousel,Instagram,Social Issues,2861,127,268,3415,0.29,Rural NCR,English,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-24 12:14:53,May,Friday,736.33,18-24,Male
211,video,Instagram,Sports,3806,277,218,2087,0.09,Delhi NCR Urban,Gujarati,Yes,Low,Eid al-Adha,2024-07-02 08:56:37,July,Tuesday,905.63,45-54,Other
212,video,Instagram,Finance,5601,936,543,11539,0.04,Coimbatore Urban,Kannada,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-23 15:27:23,August,Friday,3378.66,35-44,Female
213,static_image,Facebook,Politics,2839,1028,158,3546,0.17,Rural Tamil Nadu North,Bengali,Yes,Medium,"Holi, Maha Shivaratri",2024-03-17 18:34:07,March,Sunday,1442.24,25-34,Female
214,video,YouTube,Finance,4704,472,435,6780,0.1,Noida Urban,Telugu,No,Medium,"Lohri, Pongal, Republic Day",2024-01-03 00:46:36,January,Wednesday,4652.57,18-24,Female
215,carousel,Facebook,Food,2434,222,331,906,0.05,Rural Bihar,Punjabi,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-25 04:41:58,May,Saturday,2162.45,25-34,Male
216,static_image,Instagram,Health,3454,548,350,6770,0.07,Rural Karnataka South,Malayalam,No,Medium,"Lohri, Pongal, Republic Day",2024-01-12 09:56:12,January,Friday,4357.96,35-44,Male
217,reel,Facebook,Technology,4456,869,200,7237,0.19,Coimbatore Urban,Kannada,No,Low,Rath Yatra,2024-06-05 02:12:10,June,Wednesday,3155.72,18-24,Female
218,video,Instagram,Health,1672,215,288,6902,0.27,Coimbatore Urban,Marathi,No,Low,"Christmas, New Year's Eve",2024-12-27 03:28:30,December,Friday,3973.77,55+,Male
219,static_image,YouTube,Gaming,3165,742,345,1302,0.28,Delhi NCR Urban,Tamil,No,Medium,"Baisakhi, Ram Navami",2024-04-24 15:17:27,April,Wednesday,233.4,35-44,Female
220,static_image,YouTube,Entertainment,695,905,230,3522,0.22,Rural Tamil Nadu South,Telugu,No,Low,"Christmas, New Year's Eve",2024-12-04 13:30:08,December,Wednesday,3782.62,18-24,Other
221,video,Instagram,Travel,2835,614,561,188,0.03,Bengaluru Suburban,Hinglish,No,Medium,"Lohri, Pongal, Republic Day",2024-01-11 04:03:03,January,Thursday,3810.64,35-44,Female
222,static_image,YouTube,Movies,6592,1336,469,12345,0.09,Mumbai Urban,Telugu,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-01 00:36:39,August,Thursday,2377.3,18-24,Female
223,video,YouTube,Politics,3281,836,47,6788,0.03,Rural Gujarat,Marathi,No,Low,Vasant Panchami,2024-02-29 15:11:01,February,Thursday,4898.74,25-34,Female
224,static_image,Instagram,Fashion,1243,296,112,3763,0.08,Rural West Bengal,English,No,Low,Vasant Panchami,2024-02-01 18:48:25,February,Thursday,3459.83,45-54,Male
225,video,Facebook,Gaming,847,1098,349,10071,0.2,Chennai Urban,Bengali,No,Medium,"Holi, Maha Shivaratri",2024-03-13 00:02:42,March,Wednesday,3807.82,35-44,Female
226,static_image,Facebook,Fashion,4096,660,142,6039,0.16,Rural Bihar,Telugu,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-31 04:50:13,October,Thursday,4183.54,25-34,Female
227,static_image,Instagram,Politics,1104,58,136,3201,0.36,Rural UP East,Urdu,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-04 22:14:09,October,Friday,3399.29,18-24,Other
228,video,Instagram,Sports,826,105,291,10669,0.29,Rural Karnataka North,Urdu,No,Medium,"Lohri, Pongal, Republic Day",2024-01-24 21:28:41,January,Wednesday,722.25,55+,Male
229,video,YouTube,Fashion,4824,67,564,6436,0.16,Rural Maharashtra North,Marathi,No,Medium,"Holi, Maha Shivaratri",2024-03-18 23:49:17,March,Monday,19.07,55+,Other
230,reel,Instagram,Food,4295,626,243,9599,0.22,Delhi Urban,Telugu,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-18 17:21:56,May,Saturday,4551.18,18-24,Female
231,static_image,YouTube,Travel,4922,86,115,7130,0.29,Rural West Bengal,Telugu,No,Medium,"Holi, Maha Shivaratri",2024-03-16 19:57:23,March,Saturday,2695.85,25-34,Male
232,reel,Facebook,Sports,3243,694,474,9645,0.21,Mumbai Urban,Kannada,No,Low,"Christmas, New Year's Eve",2024-12-07 10:54:50,December,Saturday,2940.73,25-34,Female
233,video,Instagram,Food,4432,516,532,4066,0.02,Delhi NCR Urban,Marathi,Yes,Medium,"Baisakhi, Ram Navami",2024-04-10 14:23:59,April,Wednesday,4831.14,45-54,Other
234,static_image,YouTube,Technology,993,200,201,5201,0.22,Chennai Urban,Bhojpuri,No,Low,Rath Yatra,2024-06-15 03:14:37,June,Saturday,3386.36,55+,Other
235,static_image,YouTube,Sports,2764,399,491,5633,0.3,Rural UP East,Kannada,No,Low,Vasant Panchami,2024-02-25 20:44:51,February,Sunday,3577.29,55+,Other
236,video,Instagram,Travel,2828,116,514,10660,0.27,Delhi Urban,Urdu,No,Medium,"Holi, Maha Shivaratri",2024-03-28 20:20:13,March,Thursday,4813.88,18-24,Other
237,static_image,Instagram,Movies,734,623,328,3664,0.07,Rural Tamil Nadu North,Bengali,Yes,Low,"Buddha Purnima, Eid al-Fitr",2024-05-12 09:55:10,May,Sunday,3.91,18-24,Other
238,video,Instagram,Politics,5943,1110,206,9751,0.1,Mysuru Urban,English,No,Medium,"Holi, Maha Shivaratri",2024-03-24 04:26:39,March,Sunday,4671.86,18-24,Male
239,reel,Instagram,Education,4473,154,464,11364,0.04,Bengaluru Urban,Marathi,No,Medium,"Holi, Maha Shivaratri",2024-03-24 18:39:17,March,Sunday,385.19,55+,Male
240,carousel,Facebook,Entertainment,4197,360,336,9679,0.01,Pune Urban,Kannada,Yes,Low,Rath Yatra,2024-06-21 17:20:19,June,Friday,4118.56,25-34,Male
241,static_image,Facebook,Technology,1561,460,211,9626,0.2,Rural Karnataka North,Marathi,No,Low,Vasant Panchami,2024-02-13 14:35:07,February,Tuesday,2334.6,55+,Male
242,static_image,YouTube,Technology,4354,992,38,7688,0.23,Gurgaon Urban,Urdu,No,Low,"Christmas, New Year's Eve",2024-12-28 11:04:35,December,Saturday,1609.33,55+,Male
243,static_image,YouTube,Fashion,5665,32,34,7036,0.03,Rural Gujarat,Kannada,Yes,Medium,"Holi, Maha Shivaratri",2024-03-01 18:53:06,March,Friday,4173.86,45-54,Other
244,video,YouTube,Travel,836,311,71,7013,0.18,Chennai Suburban,Bengali,No,Low,"Christmas, New Year's Eve",2024-12-07 16:58:41,December,Saturday,2867.7,35-44,Other
245,carousel,Instagram,Education,5366,457,103,6187,0.21,Rural Maharashtra North,Odia,No,Medium,"Holi, Maha Shivaratri",2024-03-21 16:13:00,March,Thursday,2103.61,45-54,Female
246,video,Instagram,Education,3465,297,46,4381,0.11,Rural Maharashtra West,Telugu,No,Low,Vasant Panchami,2024-02-10 05:58:50,February,Saturday,1367.3,35-44,Male
247,reel,Instagram,Food,180,700,482,901,0.22,Rural NCR,Gujarati,No,Low,Vasant Panchami,2024-02-20 12:20:42,February,Tuesday,4333.2,45-54,Female
248,reel,Facebook,Education,4109,26,413,1795,0.15,Rural Maharashtra North,Hinglish,Yes,Low,Ganesh Chaturthi,2024-09-04 15:02:02,September,Wednesday,1085.67,25-34,Male
249,carousel,Facebook,Fashion,4581,1465,720,631,0.26,Chennai Urban,English,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-22 02:59:49,August,Thursday,737.72,45-54,Other
250,video,YouTube,Music,3738,331,353,3379,0.23,Bengaluru Suburban,Telugu,No,Low,"Christmas, New Year's Eve",2024-12-07 03:37:28,December,Saturday,614.0,55+,Male
251,video,Facebook,Gaming,727,1311,162,924,0.1,Mumbai Suburban,Bhojpuri,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-11 03:32:05,October,Friday,1321.3,35-44,Female
252,video,Facebook,Education,2707,1039,432,11959,0.28,Delhi Urban,Tamil,Yes,Medium,"Holi, Maha Shivaratri",2024-03-14 01:48:15,March,Thursday,3984.41,35-44,Female
253,static_image,YouTube,Education,983,892,400,2072,0.24,Chennai Urban,Bengali,No,Low,"Christmas, New Year's Eve",2024-12-24 15:01:28,December,Tuesday,3161.14,25-34,Female
254,video,YouTube,Food,4047,481,195,628,0.19,Chennai Urban,Bengali,No,Low,Vasant Panchami,2024-02-03 02:32:37,February,Saturday,4778.23,45-54,Male
255,static_image,YouTube,Health,4180,1054,291,7906,0.26,Mumbai Urban,English,Yes,High,"Diwali, Bhai Dooj",2024-11-20 13:18:31,November,Wednesday,3601.38,55+,Female
256,carousel,Facebook,Finance,5848,705,153,5528,0.14,Rural Karnataka South,Hinglish,No,Medium,"Baisakhi, Ram Navami",2024-04-02 23:26:31,April,Tuesday,1036.63,25-34,Female
257,video,YouTube,Food,2981,955,289,8458,0.27,Rural Gujarat,Bengali,No,Low,Rath Yatra,2024-06-26 04:51:22,June,Wednesday,4665.37,25-34,Male
258,video,YouTube,Politics,419,504,300,6899,0.19,Noida Urban,Hinglish,No,Low,Vasant Panchami,2024-02-27 20:58:05,February,Tuesday,70.02,45-54,Female
259,static_image,YouTube,Entertainment,1603,886,327,9001,0.21,Coimbatore Urban,Hinglish,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-08 10:09:49,August,Thursday,4444.25,25-34,Male
260,static_image,YouTube,Music,1742,340,413,1288,0.12,Rural Bihar,Urdu,No,Low,Vasant Panchami,2024-02-11 17:59:45,February,Sunday,3280.19,45-54,Male
261,static_image,Facebook,Food,5523,962,312,4101,0.05,Kolkata Urban,Kannada,No,Medium,"Baisakhi, Ram Navami",2024-04-21 23:47:19,April,Sunday,1727.09,55+,Other
262,video,Facebook,Fashion,2460,176,499,849,0.14,Mumbai Suburban,Tamil,No,Low,"Christmas, New Year's Eve",2024-12-04 08:17:08,December,Wednesday,779.47,45-54,Female
263,video,YouTube,Fashion,2290,973,567,4902,0.06,Rural Punjab,Punjabi,No,Medium,"Holi, Maha Shivaratri",2024-03-06 00:06:24,March,Wednesday,2980.2,35-44,Other
264,carousel,Instagram,Fashion,389,579,492,8917,0.12,Coimbatore Urban,Malayalam,No,Low,"Christmas, New Year's Eve",2024-12-14 05:47:29,December,Saturday,4083.98,25-34,Other
265,carousel,Facebook,Social Issues,3818,811,280,2488,0.04,Rural Gujarat,Bengali,No,Low,Rath Yatra,2024-06-12 17:57:56,June,Wednesday,278.59,25-34,Male
266,video,Facebook,Gaming,1660,205,89,1383,0.14,Rural Bihar,Malayalam,No,Low,Rath Yatra,2024-06-26 21:39:26,June,Wednesday,4691.44,55+,Female
267,video,YouTube,Education,1681,1182,255,9007,0.15,Chennai Suburban,Gujarati,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-10 07:28:35,October,Thursday,1801.57,55+,Other
268,static_image,Facebook,Politics,2630,1030,544,7620,0.34,Chennai Urban,English,Yes,Medium,"Baisakhi, Ram Navami",2024-04-27 20:38:06,April,Saturday,2657.21,55+,Other
269,static_image,YouTube,Health,4593,1146,562,5079,0.35,Rural Gujarat,Bengali,No,Medium,"Lohri, Pongal, Republic Day",2024-01-22 16:58:08,January,Monday,2712.38,18-24,Other
270,static_image,Instagram,Food,975,204,27,6229,0.24,Chennai Suburban,Urdu,Yes,High,"Diwali, Bhai Dooj",2024-11-01 04:17:11,November,Friday,1429.56,55+,Other
271,video,YouTube,Fashion,483,709,211,7822,0.02,Rural Punjab,Hindi,No,Medium,"Lohri, Pongal, Republic Day",2024-01-08 20:50:56,January,Monday,165.55,35-44,Other
272,static_image,YouTube,Health,961,280,480,6933,0.11,Mysuru Urban,Odia,Yes,Medium,"Holi, Maha Shivaratri",2024-03-11 22:52:46,March,Monday,101.94,55+,Male
273,static_image,Facebook,Social Issues,2270,576,27,1032,0.2,Delhi NCR Urban,Punjabi,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-16 09:44:35,May,Thursday,1517.19,18-24,Male
274,reel,Facebook,Politics,540,1300,517,6979,0.37,Chennai Urban,Urdu,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-06 06:28:51,August,Tuesday,3443.69,45-54,Female
275,video,YouTube,Movies,3715,998,195,4731,0.32,Rural Tamil Nadu North,Tamil,No,Medium,"Baisakhi, Ram Navami",2024-04-12 08:22:09,April,Friday,3402.16,18-24,Male
276,video,YouTube,Technology,4975,573,477,8778,0.15,Rural UP West,Bhojpuri,Yes,Low,"Christmas, New Year's Eve",2024-12-20 18:01:45,December,Friday,4225.7,35-44,Other
277,carousel,Instagram,Fashion,1297,617,169,7590,0.25,Rural Punjab,Punjabi,No,Low,Vasant Panchami,2024-02-28 20:03:55,February,Wednesday,865.87,18-24,Other
278,carousel,Instagram,Technology,5644,925,22,6160,0.08,Delhi Urban,Punjabi,Yes,High,"Independence Day, Raksha Bandhan, Janmashtami, Onam",2024-08-23 06:05:15,August,Friday,4955.4,25-34,Female
279,static_image,YouTube,Education,5637,76,264,6612,0.37,Kolkata Urban,Kannada,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-04 22:47:16,October,Friday,3133.41,55+,Male
280,video,Instagram,Education,2698,1036,459,1458,0.29,Bengaluru Urban,Punjabi,Yes,High,"Navratri, Durga Puja, Dussehra",2024-10-18 12:22:49,October,Friday,830.55,55+,Other
281,reel,Instagram,Health,3072,974,366,3152,0.07,Rural Punjab,Punjabi,No,Medium,"Holi, Maha Shivaratri",2024-03-02 14:39:22,March,Saturday,2151.99,45-54,Female
282,reel,Facebook,Politics,4536,48,560,9636,0.02,Coimbatore Urban,Punjabi,No,Medium,"Holi, Maha Shivaratri",2024-03-04 11:21:21,March,Monday,1646.2,35-44,Other
283,reel,Facebook,Education,1044,477,366,2833,0.08,Noida Urban,Bhojpuri,Yes,High,"Diwali, Bhai Dooj",2024-11-25 19:15:43,November,Monday,3438.17,25-34,Other
284,carousel,Facebook,Education,1539,272,256,6605,0.23,Pune Urban,Gujarati,No,Low,Ganesh Chaturthi,2024-09-21 08:47:29,September,Saturday,1206.67,18-24,Other
285,static_image,YouTube,Travel,1598,58,26,1428,0.23,Hyderabad Urban,English,No,Low,Ganesh Chaturthi,2024-09-18 14:57:18,September,Wednesday,3177.11,18-24,Other
286,static_image,Instagram,Movies,4937,547,374,1012,0.09,Noida Urban,Hinglish,Yes,Low,Rath Yatra,2024-06-02 11:18:30,June,Sunday,1049.03,45-54,Female
287,static_image,Facebook,Politics,1476,254,294,4918,0.02,Hyderabad Urban,Bengali,Yes,Low,Vasant Panchami,2024-02-11 02:02:50,February,Sunday,1478.54,55+,Other
288,video,Instagram,Fashion,4758,415,459,668,0.07,Rural UP East,Hinglish,No,Low,"Christmas, New Year's Eve",2024-12-29 10:54:34,December,Sunday,3539.38,18-24,Other
289,carousel,Instagram,Travel,2552,477,188,9052,0.13,Bengaluru Urban,Hindi,No,Low,"Buddha Purnima, Eid al-Fitr",2024-05-09 20:59:36,May,Thursday,2792.03,35-44,Male
